Title,Links
Zed editor switching graphics lib from blade to wgpu,https://github.com/zed-industries/zed/pull/46758
Monosketch,https://monosketch.io/
Open Source Is Not About You (2018),https://gist.github.com/richhickey/1563cddea1002958f96e7ba9519972d9
Green’s Dictionary of Slang - Five hundred years of the vulgar tongue,https://greensdictofslang.com/
Faster Than Dijkstra?,https://systemsapproach.org/2026/02/09/faster-than-dijkstra/
Resizing windows on macOS Tahoe – the saga continues,https://noheger.at/blog/2026/02/12/resizing-windows-on-macos-tahoe-the-saga-continues/
MinIO repository is no longer maintained,https://github.com/minio/minio/commit/7aac2a2c5b7c882e68c1ce017d8256be2feea27f
Implementing Auto Tiling with Just 5 Tiles,https://www.kyledunbar.dev/2026/02/05/Implementing-auto-tiling-with-just-5-tiles.html
GPT‑5.3‑Codex‑Spark,https://openai.com/index/introducing-gpt-5-3-codex-spark/
Gemini 3 Deep Think,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-deep-think/
Cache Monet,https://cachemonet.com
Advanced Aerial Robotics Made Simple,https://www.drehmflight.com
MMAcevedo aka Lena by qntm,https://qntm.org/mmacevedo
"Apple, fix my keyboard before the timer ends or I'm leaving iPhone",https://ios-countdown.win/
An AI agent published a hit piece on me,https://theshamblog.com/an-ai-agent-published-a-hit-piece-on-me/
Particle Lenia,https://znah.net/lenia/
We interfaced single-threaded C++ with multi-threaded Rust,https://antithesis.com/blog/2026/rust_cpp/
CSS-Doodle,https://css-doodle.com/
AWS Adds support for nested virtualization,https://github.com/aws/aws-sdk-go-v2/commit/3dca5e45d5ad05460b93410087833cbaa624754e
Polis: Open-source platform for large-scale civic deliberation,https://pol.is/home2
Apocalypse no: how almost everything we thought we knew about the Maya is wrong,https://www.theguardian.com/news/2026/feb/12/apocalypse-no-how-almost-everything-we-thought-we-knew-about-the-maya-is-wrong
Beginning fully autonomous operations with the 6th-generation Waymo driver,https://waymo.com/blog/2026/02/ro-on-6th-gen-waymo-driver
What Drives Stock Market Returns?,https://outlookzen.com/2018/10/27/where-do-stock-market-returns-come-from/
Ruby Newbie Is Joining the Ruby Users Forum,https://www.rubyforum.org/tag/getting-started
Major European payment processor can't send email to Google Workspace users,https://atha.io/blog/2026-02-12-viva
"Japan's Dododo Land, the most irritating place on Earth",https://soranews24.com/2026/02/07/take-a-trip-to-japans-dododo-land-the-most-irritating-place-on-earth/
My Grandma Was a Fed – Lessons from Digitizing Hours of Childhood,https://sampatt.com/blog/2025-12-13-my-grandma-was-a-fed-lessons-from-digitizing-hundreds-of-hours-of-childhood/
